ICS	PART NAME	CODE	"Unit Price
Purchase
USD"	" Unit Price
Sales
PHP "	L0035696		L0035704		9235 9242 9273 9289 9305		L0035721		"L0035732
L0035734"		S0001131		L0035786								TOTAL PO QTY	TOTAL PO AMT
7889009600	CVR-SKT-BLB-SL/191 COVER RUBBER	IP	  0.2649 	  21.5700 	  6,000 	  129,420 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  600 	  12,942 		  -   		  -   		  -   	  6,600 	  142,362
8788282900	YH/90183-06818/NUT	IP	  0.0586 	  4.0900 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
9099454900	PIVOT-SRW/8-6-CF8/062	IP	  0.0289 	  2.1900 	  1,000 	  2,190 	  -   	  -   	  -   	  -   	  -   	  -   	  2,000 	  4,380 	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  3,000 	  6,570
9151781700	W2109M/PLT	IP	  0.0209 	  1.4800 	  84,000 	  124,320 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  18,000 	  26,640 		  -   		  -   		  -   	  102,000 	  150,960
9187690600	SPG-LAMP-SUPPORT/159    	IP	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
9255848700	YH/90183-05807/NUT Spring	IP	  0.0283 	  1.9300 	  12,000 	  23,160 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  12,000 	  23,160
9694657000	TUBE BREATHER ASSY/036 L/R	IP	  0.0286 	  2.3000 	  24,000 	  55,200 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  4,000 	  9,200 		  -   		  -   		  -   	  28,000 	  64,400
9703150900	W5498L/CORD CP	IP	  0.3050 	  23.3400 	  9,000 	  210,060 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  9,000 	  210,060
9853111400	O-RING/10.8-4.8/065 Rubber	IP	  0.0099 	  0.6800 	  110,000 	  74,800 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  110,000 	  74,800
2205162800	WIR-SL-CLP/288	IP	  0.1954 	  0.2610 	  -   	  -   	  -   	  -   	  13,200 	  3,445 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  13,200 	  210,946
5590557600	WIR-SL-CLP/267	IP	  0.1015 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
8825633600	WIR-SL-CLP/261	IP	  0.0818 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0000000001	KINGFA KF06	R	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0564232900	PMMA MH (SMOKE GRAY) SFM4839M	R	  3.6562 	  284.9400 	  -   	  -   	  1,800 	  512,892 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  1,800 	  512,892
2978059500	EMC430X8/TJA7089Z G/BK A	R	  4.7724 	  336.4700 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
3858013200	18/MH/4312/RD/A	R	  2.5480 	  197.3400 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
3922773800	9L/HK-20/N0607/BK/A	R	  -   	  136.0100 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
3922773800*	9L/HK-20/N0607/BK/A_700KG	R	  1.3260 	  136.0100 	  -   	  -   	  70,700 	  9,615,907 	  -   	  -   	  36,400 	  4,950,764 	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  107,100 	  14,566,671
